100 4100
200 4000
300 3900
400 4200
500 4100
600 4200
700 4300
800 4000
900 4100
1000 4000
1100 4100
1200 4000
1300 4100
1400 3900
1500 4200
1600 4000
1700 4100
1800 4000
1900 4100
2000 4000
2100 4100
2200 4000
2300 4100
2400 4000
2500 4100
2600 4000
2700 4100
2800 3900
2900 4100
3000 4000
3100 4200
3200 4100
3300 4000
3400 4100
3500 4500
3600 5000
3700 4200
3800 4000
3900 4100
4000 4200
4100 4000
4200 4100
4300 4000
4400 4100
4500 4200
4600 3900
4700 4300
4800 4000
4900 4500
5000 4400
5100 4200
5200 4300
5300 4000
5400 4100
5500 3900
5600 4200
5700 4000
5800 4100
5900 4200
6000 4300
6100 4000
6200 4100
6300 4200
6400 4000
6500 4300
6600 4100
6700 4000
6800 4200
6900 4100
7000 4300
7100 4000
7200 4100
7300 4000
7400 4300
7500 4000
7600 4100
7700 4200
7800 4000
7900 4100
8000 4200
8100 4000
8200 4100
8300 4000
8400 4200
8500 4000
8600 4100
8700 3900
8800 4000
8900 4100
9000 4000
9100 4200
9200 4100
9300 4000
9400 4100
9500 4200
9600 4000
9700 4100
9800 4000
9900 4100
10000 4200
